70000 3
13.313107 1.821914 4.373177
12.404204 -26.921556 -23.398363
-18.468197 0.935225 -19.848267
5.281532 -7.979034 -13.641391
-15.693356 -3.668849 -11.622006
0.712124 -21.834553 -4.223434
5.569489 7.150676 -12.221976
4.489928 3.454962 10.463099
3.728056 6.103238 -11.574335
-11.442261 -3.659371 -19.310871
6.648817 2.403560 7.848681
16.761917 1.366793 -1.493747
9.797164 2.948295 12.118433
-8.032391 -9.924425 21.085974
5.477606 4.998816 -9.881876
-14.573874 -10.632156 -5.801221
2.311268 -19.985531 -6.128125
12.495187 -9.979813 4.052601
-4.856349 -8.012454 19.659243
-12.668076 -7.355490 -9.940151
-19.875902 1.640056 -19.182549
12.239750 -26.387173 -24.137577
-12.465678 -5.907602 -10.821270
5.243926 -8.093533 -13.716497
8.276464 1.573575 5.215878
3.301170 -17.701767 -1.297840
-16.761774 -4.178552 -16.772875
6.434249 2.996521 11.959366
4.117414 -17.272001 -4.746058
-12.391836 -10.626629 -5.746708
11.471743 2.349186 12.587264
12.985144 -10.003825 3.111995
-6.843011 -7.380292 21.997847
-12.590321 -7.691330 -9.122871
11.371308 -25.822632 -20.302717
15.768265 0.932275 -0.452761
-4.736708 -8.841675 20.580458
11.307213 -25.622936 -21.264553
-19.427687 -11.886286 -11.163847
-6.863056 -9.273694 21.493715
3.251918 1.982288 -12.547230
11.887512 -8.442090 5.941078
-17.973524 -11.224519 -10.636123
-13.434719 -7.285998 -10.438270
9.320276 5.776627 9.710865
-15.497502 -3.922250 -10.577034
12.119274 -8.162300 8.890393
15.984738 2.760494 1.231908
10.036665 4.458484 8.637017
5.746029 3.431952 10.230939
8.709956 0.758428 8.658314
12.401760 -28.865160 -24.982489
-19.976336 -11.935968 -6.763837
-12.670563 -5.663817 -17.045769
-16.356159 -4.501777 -9.966382
13.448413 -10.031107 6.684558
11.015949 -31.128727 -24.709993
-12.874934 -5.542727 -9.973143
-19.231737 -1.168895 -18.772121
5.982545 -7.604664 -13.208655
-19.068674 2.566271 -19.381460
-11.338904 -5.313280 -18.447163
-4.565323 -9.171235 18.980251
12.572169 -26.947800 -24.106064
-15.779531 0.591967 -19.523315
17.127687 1.614874 -1.545735
-5.537507 -9.950952 19.585629
5.808356 -2.639912 -11.011457
10.799844 -31.545200 -26.690239
10.568298 -28.438513 -20.520397
5.437207 4.157750 -12.084038
-13.876986 -10.376811 -5.567297
5.495811 2.983018 -10.093997
-6.120311 -9.962756 20.954603
9.130717 4.020022 9.495066
12.250555 -26.786608 -21.521034
2.501733 -16.008688 -1.895035
5.794312 -5.565010 -12.681710
6.118466 -4.731541 -13.504029
-13.051212 -10.635087 -5.808780
10.914838 -30.135492 -20.522215
11.932089 -26.617924 -21.216419
2.756245 -21.074909 -6.873812
-7.528135 -10.164772 20.686220
-19.165886 -12.792947 -8.956572
12.074817 -8.093388 5.278043
11.595017 2.794563 11.301313
-13.051796 -4.239956 -9.095869
11.101498 -31.193462 -24.356678
-12.058767 -2.682220 -20.500650
-7.710303 -9.816283 19.921642
-15.509663 -10.669880 -4.900876
-18.070415 -0.356122 -17.931627
-6.310271 -9.403231 19.902962
12.337181 -10.311227 6.522120
11.080249 -27.298960 -21.029400
-16.739332 -11.155627 -9.111944
12.953745 -9.521992 5.490543
8.871835 3.929885 9.687775
4.092313 -5.725106 -12.898336
15.293607 4.426444 3.415431
-18.364380 -10.264863 -5.733516
5.233433 4.112827 -10.027373
-16.452791 -11.007502 -6.782324
5.643238 7.664260 -10.649997
6.341348 -4.698427 -12.857440
-6.638014 -7.512222 19.696209
4.895258 1.627116 9.706064
10.249174 -31.105661 -26.854301
-1.755594 -18.399038 -3.258913
-20.186100 0.374952 -14.197665
6.107741 4.037164 12.058564
2.907604 2.457829 -12.737858
7.250303 -6.547430 -12.722788
10.996422 -28.385075 -26.766619
-12.909365 -3.365533 -19.702715
-17.347347 -1.803629 -11.448820
1.869719 -18.448235 -1.526495
12.409064 -29.663500 -22.457161
11.897503 -25.859331 -24.442083
-16.911978 -13.916693 -7.226882
11.161292 -29.930929 -26.497770
2.136361 -18.382343 -2.744767
-14.385571 -11.458646 -4.774195
5.143673 0.672278 -10.017186
11.173014 -8.204036 6.103707
-5.680644 -7.085846 19.725708
-10.839430 -3.554444 -19.950668
5.146157 2.724185 -13.348200
-4.588842 -10.623050 19.246262
7.496542 4.598485 9.854065
-11.363008 -4.141874 -19.709063
9.316952 1.972097 6.081594
-14.671918 -6.225491 -11.707406
6.429638 8.809215 -11.136165
4.291418 2.350775 8.937843
10.084686 4.247845 10.891301
11.215754 -10.068457 4.955578
12.249093 0.264962 6.354032
-12.570994 -4.051556 -18.009199
-14.530613 -13.003750 -9.733883
-12.658191 -10.634877 -5.813540
-15.010577 -3.847108 -18.186731
-0.931366 -18.144833 -3.433888
11.482211 -6.370135 10.171110
16.904816 1.960483 -0.638547
12.893354 -9.871212 5.509661
-5.954756 -8.834517 21.770819
-13.550700 -13.067078 -9.637612
7.963093 3.544785 12.241279
-15.109159 -2.665302 -15.269456
-6.911137 -10.267255 21.065052
5.892332 0.240599 -10.876039
-12.940717 -6.908417 -10.351779
-20.177546 -9.559660 -8.182588
-5.832668 -10.919838 20.376114
11.742136 -27.613800 -27.218653
4.025890 2.184832 9.382216
-23.540228 -9.783126 -7.453971
1.990600 -19.273941 -1.880730
10.980394 -7.575588 9.798847
3.449137 -18.238720 -1.098846
-18.381138 -2.855312 -12.598364
-11.601601 -5.307161 -18.507650
-19.179890 1.141824 -19.318575
-6.112321 -9.907388 20.171190
-13.368225 -3.587487 -17.849113
-13.640719 -4.488448 -9.247750
-14.882942 -12.913107 -9.369531
10.954723 -27.356869 -20.581644
-18.915125 -2.084263 -12.467655
2.129627 -19.028395 -1.751594
-19.903746 -9.918348 -7.675789
16.608400 0.871328 -1.458678
2.782729 0.985336 -12.526023
16.557356 1.302601 -0.138787
-18.545288 -3.729033 -13.545294
5.272699 -4.191345 -13.930534
2.627959 -23.653671 -6.187041
4.495873 3.557371 11.062789
2.972191 -16.152695 -4.341397
4.048863 3.899746 10.357369
12.037710 0.290323 8.044223
-15.055003 -4.419280 -9.718966
5.729811 6.305671 -10.758376
-16.047302 -10.924748 -4.885127
-8.937315 -6.147439 21.342804
1.317566 -17.640734 -1.403015
13.030892 -8.094553 9.650129
-0.634743 -18.076250 -2.997233
1.211968 -17.885418 -2.072455
16.984673 1.959196 -0.721547
11.827198 -28.496939 -21.500957
-15.547922 -10.654553 -4.821869
-17.478367 -0.506137 -18.971674
-13.195055 -6.782874 -9.248492
-22.650837 -10.509485 -7.947769
12.240504 -9.724188 3.832069
9.264269 2.177809 10.130955
-0.450274 -20.222584 -3.425411
5.955898 6.588856 -11.570328
5.543935 -8.370816 -14.060069
12.172519 -8.810109 4.724604
4.145243 3.922321 10.429796
-6.208076 -7.871798 22.260004
7.114734 -7.724543 -12.757886
12.101900 -30.577885 -26.275743
2.946042 2.293687 9.599867
4.839877 -0.005266 -13.589392
10.794205 -30.836605 -26.335566
11.992810 -30.547787 -21.994867
5.344285 -0.067667 -13.028041
3.683300 5.427510 -12.958509
1.405617 -21.341711 -4.323625
-21.793215 -11.562378 -7.786764
5.227378 1.303240 9.382382
10.711868 -29.894846 -20.441349
-15.660104 -1.721003 -17.556904
-8.765795 -6.905349 21.191200
14.416226 0.666833 2.966724
4.635043 -17.609066 -2.198159
-9.661233 -9.096233 20.606552
-18.988304 2.101095 -19.243137
-16.170317 -10.395189 -6.072824
-14.158963 -11.323756 -8.297771
12.461482 -8.232718 4.191170
-19.834894 -2.260434 -13.326123
-15.042549 -5.509971 -11.425150
11.503295 4.001491 10.653574
10.884642 -31.249907 -26.131477
-14.158706 -12.107479 -6.685298
6.279488 -0.141815 -11.691483
10.841304 -28.803928 -19.200489
2.129880 -22.255987 -3.937223
11.503837 -28.746014 -21.458496
4.678158 1.516612 9.167629
15.446333 3.084995 2.435109
-16.158588 -2.162826 -19.172672
-8.374462 -7.852525 20.443218
15.710880 0.494902 1.505750
5.926746 2.601966 -12.998802
-11.295713 -7.713502 20.226137
5.935447 0.601931 10.308988
-17.140326 -11.036596 -6.489737
14.337967 0.919441 7.660213
12.542584 -8.796530 4.572069
11.486392 -31.821953 -26.234900
-15.245076 -5.795242 -11.371526
6.118341 7.650425 -11.754276
10.790250 -31.048304 -26.773020
11.535732 2.312912 12.753099
5.073693 -0.267707 -13.584074
0.800545 -17.001194 -2.984178
2.264900 -23.679041 -5.129789
8.867653 0.266621 9.383033
4.364239 1.910409 8.962449
-1.945793 -10.844918 18.919643
-13.351372 -2.664243 -18.776402
-15.584701 -12.382009 -9.379726
15.011950 0.305834 0.995574
10.273232 -27.664127 -27.980865
-7.796667 -10.425107 20.791462
-4.059084 -12.289410 19.028425
-16.925215 -11.128946 -6.089005
-20.130720 1.449193 -15.516651
13.350402 -8.774395 4.695530
12.898604 1.911863 7.702267
-16.299196 -5.212327 -11.476588
-1.948353 -17.924097 -4.231637
6.361388 -2.876326 -11.468271
5.182364 0.242559 -10.032449
-14.042302 -3.418437 -17.397444
-15.709884 -2.119922 -20.588181
15.713517 0.532031 1.358583
-2.812515 -10.710504 18.888802
-14.069299 -2.365838 -18.712009
2.872025 -0.333277 -12.456899
2.366491 -22.957853 -5.077234
9.890734 0.932209 6.337603
4.593377 3.773999 10.507245
-14.685073 -4.457792 -11.465652
4.996785 1.293878 9.723736
-20.743359 0.780351 -14.793959
10.904509 -30.070961 -25.553291
13.047267 1.009031 9.975211
-15.446845 -5.721312 -11.689325
-6.823682 -9.306623 19.543104
15.613338 0.302768 -0.216109
-18.966715 -12.191335 -9.514664
-13.964117 -3.069813 -17.548744
4.640451 -2.153093 -12.210644
5.015264 1.926727 8.143388
-15.036627 -2.893390 -15.384185
11.435245 -28.832970 -23.621372
-19.430061 2.500775 -19.387379
11.892308 -9.333837 3.987744
11.231215 -29.648941 -22.777811
-13.274042 -2.537125 -19.118000
10.124747 3.198465 11.368362
-9.682855 -8.913610 21.320642
10.511174 -9.422462 7.317915
-15.640906 -10.476601 -6.355958
-5.214762 -10.974085 20.324434
11.590009 -27.162579 -23.456255
-20.587112 -10.148978 -10.319195
-14.027113 -10.984813 -6.356603
12.831948 0.113969 10.659243
-15.026109 -11.329358 -7.624028
2.477097 -22.862022 -4.350529
6.189945 -4.721393 -11.308618
2.750909 2.417802 -12.589706
-8.366650 -10.119000 20.815447
11.711216 -7.646121 9.372877
-14.994248 -5.779991 -11.154783
-16.682241 0.170292 -19.330963
5.636130 -5.984288 -13.588073
12.990854 1.036680 9.928032
2.528042 -23.418320 -4.820939
-0.996218 -18.681494 -3.787670
-12.678977 -5.802898 -9.525224
10.916589 -28.897657 -20.979231
4.572534 1.583845 8.940552
-19.603630 1.239185 -13.222259
-10.316048 -8.415178 20.459757
-18.318506 -12.287689 -9.636606
2.755697 -22.997505 -3.825608
12.235774 -28.712124 -21.845518
4.251036 1.613126 8.587636
15.162305 2.055718 4.837018
-13.760722 -2.771295 -19.105335
9.154790 0.526182 8.958794
-6.316139 -9.636952 21.679316
13.979163 2.108246 6.792383
12.743808 -6.269141 7.942539
-18.363764 0.671633 -13.669135
15.229306 0.262880 0.611522
-15.876338 -3.678944 -17.462496
-15.509927 -11.018108 -5.664410
-15.257123 -1.984693 -18.727623
2.196056 -23.036823 -4.109047
-18.253294 -2.994869 -12.560063
4.426597 1.596207 9.849618
-15.980114 -4.304970 -15.781051
12.034814 -9.427790 3.660561
-19.130913 -0.946329 -13.449082
5.557208 -6.101035 -13.619871
5.630801 4.655442 7.976642
2.571757 -23.403936 -5.070452
11.576588 -7.900832 7.551945
-16.301250 -12.583596 -5.828061
-17.818972 -1.118047 -12.999687
5.850571 -6.808894 -14.057714
12.631820 -3.318173 9.279299
-14.251797 -12.766462 -7.611882
-17.610100 -3.702945 -15.351964
7.007446 -7.159944 -12.743377
8.106000 5.073942 10.034187
6.130262 -5.358943 -13.969423
5.821034 6.805212 -10.438259
12.637812 -28.423141 -24.015142
1.590054 -15.990886 -2.436856
4.248616 3.568345 10.304514
-16.491350 -2.613496 -12.576128
-12.940982 -4.875282 -17.974157
-15.349884 -2.971528 -12.515189
3.038954 -21.555353 -3.527470
5.540544 2.528318 -10.189859
-8.761382 -9.903478 20.640217
10.620822 -8.529858 5.209525
-14.748754 -2.813968 -18.737234
2.385070 1.234671 -13.092927
-18.173420 -11.212095 -5.848110
-16.989370 -3.604266 -17.964952
-13.665419 -3.695159 -18.898750
-19.022648 -1.100302 -13.571548
2.232798 -23.354557 -4.098706
10.157063 -7.030465 9.335927
-15.721946 -10.833114 -5.524521
1.955076 -19.062262 -4.952238
-12.278440 -4.574355 -18.037340
-17.906902 1.420181 -19.537540
2.682252 -22.053976 -3.494594
5.976433 4.374039 -11.548421
-14.407223 -4.283868 -9.340652
-20.011028 -10.797906 -10.814409
2.092490 -22.934883 -3.436271
12.498164 -3.949828 10.985855
-14.955238 -12.475098 -6.447761
-3.492088 -8.634764 21.340389
-13.523033 -5.124468 -10.977798
2.956167 -17.333950 -2.437313
1.449428 -23.699797 -4.166396
9.183990 3.976468 12.146740
13.122994 -10.114597 3.882873
5.502550 6.338329 -10.714886
-7.800545 -10.397434 20.715794
12.470284 2.578356 5.740800
6.783247 -7.392217 -12.436462
3.562076 5.506800 -11.903039
11.448978 -26.253378 -24.140638
1.790395 -17.864578 -5.478755
-5.025264 -9.891364 21.363968
-14.869727 -1.863721 -19.094814
